"landscape","block","gen","treat","location","AutoPi_5","SexPi_5","AutoSE_5","SexSE_5","AutoPi_7.5","SexPi_7.5","AutoSE_7.5","SexSE_7.5","AutoPi_10","SexPi_10","AutoSE_10","SexSE_10","AutoPi_12.5","SexPi_12.5","AutoSE_12.5","SexSE_12.5","AutoPi_15","SexPi_15","AutoSE_15","SexSE_15"
22,2,0,"shuff",NA,0.0105338094104155,0.00428636835877863,4.25686355832563e-05,9.21125888944336e-05,0.0105515776898621,0.00425711015866388,4.81993736025619e-05,0.000103113371907575,0.0105556120628492,0.0042852494798331,5.29191624613272e-05,0.000114415516981758,0.010588415959869,0.00429455541913043,5.71077384462165e-05,0.000123807069001857,0.0105855419460748,0.00426746192323651,6.09681648838045e-05,0.000131169758968634
22,2,8,"shuff",NA,0.0118258258778922,0.0041844231296034,5.53802057731744e-05,9.24803495337022e-05,0.0118783059111151,0.00417792085425532,6.22726011058051e-05,0.000105068083626289,0.0118890212331557,0.00419713949083216,6.80587659370965e-05,0.000116488168499149,0.0119927853615828,0.00420263285989492,7.26311575897353e-05,0.000125605329815244,0.0120087970990483,0.00421725697257384,7.75856179540189e-05,0.000135488368495393
26,2,0,"shuff",NA,0.0103715319207876,0.00424928951054852,4.19168498047604e-05,9.49386622812267e-05,0.0103901774443558,0.0042493380961945,4.73906960331998e-05,0.000108122988066787,0.0103902012278842,0.00424732339124294,5.18896004627443e-05,0.000117561832506352,0.0104015098934959,0.00421241244404973,5.59499813018918e-05,0.000123188261156127,0.0104014990643161,0.00425753803781513,5.98098923622363e-05,0.000133943874326184
26,2,8,"shuff",NA,0.010156115291158,0.00407329259599448,4.21367430785544e-05,8.81697457132929e-05,0.0101717758609126,0.00410684295149639,4.77788561027426e-05,0.000101003480265625,0.0101744811661248,0.00409761592105263,5.25481667598422e-05,0.000109571536644878,0.0101887986873924,0.00410467881206897,5.67546552098102e-05,0.000119477495841106,0.0101742026000726,0.00407592911180124,6.06297148659606e-05,0.00012527207261473
30,2,0,"shuff",NA,0.00987946533424772,0.00417789737079646,4.39925351257378e-05,0.000113097249676866,0.00990649540559681,0.00409857299611399,4.94325322694319e-05,0.000122631651315125,0.009924091468713,0.00404087209230769,5.37406678728146e-05,0.000129298770186636,0.00994035069156544,0.00409191999578059,5.77578115920267e-05,0.000138731413435527,0.00992482481364687,0.00405282411704835,6.13904009173795e-05,0.00015016600525277
30,2,8,"shuff",NA,0.0101628863968994,0.00420517707266436,4.19669794343938e-05,9.04488292562945e-05,0.0101800328280157,0.00416808927950311,4.76323082121302e-05,9.73980678004272e-05,0.0101688539568087,0.004203294475,5.19976548460495e-05,0.000112387043234879,0.0102069276618902,0.0042392055467128,5.62492113088492e-05,0.000122797618373721,0.0101824429822406,0.00415988282328482,6.01144288161216e-05,0.000124336154129719
31,2,0,"struct",NA,0.0104222925807873,0.0040829269867411,4.1835562038102e-05,8.71893997926792e-05,0.0104320440712188,0.00408675450732218,4.73323515956423e-05,9.94779227675722e-05,0.0104363713783146,0.00409935009230769,5.19269422055662e-05,0.000108220119302117,0.0104584586815925,0.00411918855902778,5.59773797458762e-05,0.000117436773075459,0.0104500843200388,0.00408382172025052,5.97842189558395e-05,0.000123299614212151
31,2,8,"struct","C",0.010108925163251,0.00369001626955307,4.15058530064273e-05,8.44260400970259e-05,0.0101193597162719,0.00366408539435146,4.70307791452796e-05,9.38945310228993e-05,0.0101210101751163,0.00373555701675978,5.14330319023405e-05,0.00011137124323995,0.010146272470893,0.00367136991273997,5.55524378613708e-05,0.000110976197065123,0.0101300192439766,0.00370134430543933,5.91883567831071e-05,0.000121068353587826
31,2,8,"struct","E",0.00961802575892259,0.00358034571074965,4.13152827690551e-05,8.74155587991597e-05,0.00963402062457996,0.00358408625529661,4.66861761834419e-05,9.75557378178479e-05,0.00964407605803203,0.00360029868458274,5.10916046093626e-05,0.000108252019084958,0.00966126940499435,0.00361457444542254,5.5164212083406e-05,0.000118312509894863,0.00965331062920103,0.00351944620550847,5.84947272520672e-05,0.000118171292379163
32,2,0,"struct",NA,0.0102626530804838,0.00418392925950292,4.20722438890338e-05,9.42322969008621e-05,0.0102961417944911,0.00421854275324675,4.75476588631715e-05,0.000110131926974644,0.0103081889466129,0.00421115745755396,5.18876057982967e-05,0.000116681066940014,0.0103236301412601,0.00420966162162162,5.57835013257634e-05,0.000127208818275427,0.0103124209256343,0.00422816922342733,5.93797139117972e-05,0.000141852744596431
32,2,8,"struct","C",0.010922142537975,0.00404428528489209,4.8698695578074e-05,8.46605042319388e-05,0.0109369353777013,0.00407967822553191,5.44620732380878e-05,9.81130647636147e-05,0.010935830174404,0.00409676172507123,5.88691991841071e-05,0.000108784180232557,0.0109450177680953,0.00412270180565371,6.26623870619796e-05,0.00011705694135625,0.0109446785547998,0.00408974585501066,6.66144137297559e-05,0.000125703231163564
32,2,8,"struct","E",0.00966083536927457,0.00358483323018081,4.10036190653243e-05,8.86002914958455e-05,0.00966644423313675,0.00358250461538462,4.63069227880712e-05,0.000102192633324789,0.00966788098237742,0.00358975559888579,5.07223020687013e-05,0.000111352273762496,0.00969096694623437,0.00359404618923611,5.46555168658195e-05,0.000121411025751574,0.00967056776895965,0.00355258197916667,5.8234334124356e-05,0.000128768865299945
33,2,0,"struct",NA,0.0103947745764803,0.0042929238993007,4.19080725253077e-05,9.71998196724201e-05,0.0104123777434671,0.00431359457411274,4.74754931544048e-05,0.000108968167140913,0.0104239931928094,0.00429293955182073,5.20500090794712e-05,0.000116723527725909,0.0104341944843131,0.00430278524518389,5.60373252227322e-05,0.000129622087209925,0.0104168499107599,0.00424746207966457,5.99779379490638e-05,0.000129778014735423
33,2,8,"struct","C",0.0101550519102479,0.00393733485843794,4.20459768514206e-05,8.88423206831671e-05,0.0101783213134689,0.00398947327604167,4.75420457589779e-05,0.000104057781222167,0.0101743053214521,0.00398517322841226,5.1843801333132e-05,0.000112386116891354,0.0102005394318415,0.00397070791273996,5.58942794094553e-05,0.000120100776478644,0.0101844493443187,0.00395902761746362,5.95457110920562e-05,0.000130324899462097
33,2,8,"struct","E",0.00989443535466404,0.00394585333287101,4.1727061241813e-05,8.65921968062153e-05,0.00990065713311331,0.00397062215909091,4.74170297381916e-05,9.93871589684159e-05,0.00990283156157595,0.00397673325138122,5.19397868025411e-05,0.000108670296628883,0.00992774685226813,0.00397958602065404,5.61736973927551e-05,0.000117221507511427,0.00992076228903132,0.00396298450517598,5.98994249495313e-05,0.000126157016549437
